uid,topic1_keyword,topic1_question,topic2_keyword,topic2_question,topic3_keyword,topic3_question,high_interest_topic_column,topic1_gif,topic2_gif,topic3_gif,full_gif
Utente1,Fiume sacro India,Come si chiama il fiume sacro agli indiani?,Bandiera India simbolo,Qual è il nome del simbolo al centro della bandiera dell'India e che cosa rappresenta?,Animali India,Quali sono 5 animali tipici dell'India?,first,india_ganje.gif,india_flag.gif,india_animals.gif,india_FULL.gif
Utente2,Fiume sacro India,Come si chiama il fiume sacro agli indiani?,Bandiera India simbolo,Qual è il nome del simbolo al centro della bandiera dell'India e che cosa rappresenta?,Animali India,Quali sono 5 animali tipici dell'India?,second,india_ganje.gif,india_flag.gif,india_animals.gif,india_FULL.gif
Utente3,Fiume sacro India,Come si chiama il fiume sacro agli indiani?,Bandiera India simbolo,Qual è il nome del simbolo al centro della bandiera dell'India e che cosa rappresenta?,Animali India,Quali sono 5 animali tipici dell'India?,third,india_ganje.gif,india_flag.gif,india_animals.gif,india_FULL.gif
Utente4,Fiume sacro India,Come si chiama il fiume sacro agli indiani?,Bandiera India simbolo,Qual è il nome del simbolo al centro della bandiera dell'India e che cosa rappresenta?,Animali India,Quali sono 5 animali tipici dell'India?,first,india_ganje.gif,india_flag.gif,india_animals.gif,india_FULL.gif
Utente5,Fiume sacro India,Come si chiama il fiume sacro agli indiani?,Bandiera India simbolo,Qual è il nome del simbolo al centro della bandiera dell'India e che cosa rappresenta?,Animali India,Quali sono 5 animali tipici dell'India?,second,india_ganje.gif,india_flag.gif,india_animals.gif,india_FULL.gif
Utente6,Fiume sacro India,Come si chiama il fiume sacro agli indiani?,Bandiera India simbolo,Qual è il nome del simbolo al centro della bandiera dell'India e che cosa rappresenta?,Animali India,Quali sono 5 animali tipici dell'India?,third,india_ganje.gif,india_flag.gif,india_animals.gif,india_FULL.gif
Utente7,Fiume sacro India,Come si chiama il fiume sacro agli indiani?,Bandiera India simbolo,Qual è il nome del simbolo al centro della bandiera dell'India e che cosa rappresenta?,Animali India,Quali sono 5 animali tipici dell'India?,first,india_ganje.gif,india_flag.gif,india_animals.gif,india_FULL.gif
Utente8,Fiume sacro India,Come si chiama il fiume sacro agli indiani?,Bandiera India simbolo,Qual è il nome del simbolo al centro della bandiera dell'India e che cosa rappresenta?,Animali India,Quali sono 5 animali tipici dell'India?,second,india_ganje.gif,india_flag.gif,india_animals.gif,india_FULL.gif
Utente9,Fiume sacro India,Come si chiama il fiume sacro agli indiani?,Bandiera India simbolo,Qual è il nome del simbolo al centro della bandiera dell'India e che cosa rappresenta?,Animali India,Quali sono 5 animali tipici dell'India?,third,space_left.gif,space_middle.gif,space_right.gif,space_FULL.gif
Utente10,Fiume sacro India,Come si chiama il fiume sacro agli indiani?,Bandiera India simbolo,Qual è il nome del simbolo al centro della bandiera dell'India e che cosa rappresenta?,Animali India,Quali sono 5 animali tipici dell'India?,first,space_left.gif,space_middle.gif,space_right.gif,space_FULL.gif
Utente11,Fiume sacro India,Come si chiama il fiume sacro agli indiani?,Bandiera India simbolo,Qual è il nome del simbolo al centro della bandiera dell'India e che cosa rappresenta?,Animali India,Quali sono 5 animali tipici dell'India?,second,space_left.gif,space_middle.gif,space_right.gif,space_FULL.gif
Utente12,Fiume sacro India,Come si chiama il fiume sacro agli indiani?,Bandiera India simbolo,Qual è il nome del simbolo al centro della bandiera dell'India e che cosa rappresenta?,Animali India,Quali sono 5 animali tipici dell'India?,third,space_left.gif,space_middle.gif,space_right.gif,space_FULL.gif
Utente13,Fiume sacro India,Come si chiama il fiume sacro agli indiani?,Bandiera India simbolo,Qual è il nome del simbolo al centro della bandiera dell'India e che cosa rappresenta?,Animali India,Quali sono 5 animali tipici dell'India?,first,space_left.gif,space_middle.gif,space_right.gif,space_FULL.gif
Utente14,Fiume sacro India,Come si chiama il fiume sacro agli indiani?,Bandiera India simbolo,Qual è il nome del simbolo al centro della bandiera dell'India e che cosa rappresenta?,Animali India,Quali sono 5 animali tipici dell'India?,second,space_left.gif,space_middle.gif,space_right.gif,space_FULL.gif
Utente15,Fiume sacro India,Come si chiama il fiume sacro agli indiani?,Bandiera India simbolo,Qual è il nome del simbolo al centro della bandiera dell'India e che cosa rappresenta?,Animali India,Quali sono 5 animali tipici dell'India?,third,space_left.gif,space_middle.gif,space_right.gif,space_FULL.gif
Utente16,Fiume sacro India,Come si chiama il fiume sacro agli indiani?,Bandiera India simbolo,Qual è il nome del simbolo al centro della bandiera dell'India e che cosa rappresenta?,Animali India,Quali sono 5 animali tipici dell'India?,first,space_left.gif,space_middle.gif,space_right.gif,space_FULL.gif
Utente17,Fiume sacro India,Come si chiama il fiume sacro agli indiani?,Bandiera India simbolo,Qual è il nome del simbolo al centro della bandiera dell'India e che cosa rappresenta?,Animali India,Quali sono 5 animali tipici dell'India?,second,space_left.gif,space_middle.gif,space_right.gif,space_FULL.gif
Utente18,Fiume sacro India,Come si chiama il fiume sacro agli indiani?,Bandiera India simbolo,Qual è il nome del simbolo al centro della bandiera dell'India e che cosa rappresenta?,Animali India,Quali sono 5 animali tipici dell'India?,third,space_left.gif,space_middle.gif,space_right.gif,space_FULL.gif
UserTestLog1,Fiume sacro India,Come si chiama il fiume sacro agli indiani?,Bandiera India simbolo,Qual è il nome del simbolo al centro della bandiera dell'India e che cosa rappresenta?,Animali India,Quali sono 5 animali tipici dell'India?,first,india_ganje.gif,india_flag.gif,india_animals.gif,india_FULL.gif
UserTestLog2,Fiume sacro India,Come si chiama il fiume sacro agli indiani?,Bandiera India simbolo,Qual è il nome del simbolo al centro della bandiera dell'India e che cosa rappresenta?,Animali India,Quali sono 5 animali tipici dell'India?,second,space_left.gif,space_middle.gif,space_right.gif,space_FULL.gif
